freq,psd_x,psd_y,psd_z,psd_xyz
170.3,7.280e+02,1.357e+03,3.544e+01,2.120e+03
171.9,8.838e+02,1.650e+03,4.405e+01,2.577e+03
173.5,1.088e+03,1.748e+03,5.852e+01,2.894e+03
175.1,1.242e+03,1.577e+03,6.870e+01,2.888e+03
176.7,1.620e+03,1.415e+03,6.934e+01,3.104e+03
178.3,2.125e+03,1.422e+03,7.041e+01,3.618e+03
179.9,2.683e+03,1.630e+03,7.470e+01,4.387e+03
181.5,2.964e+03,1.750e+03,7.700e+01,4.791e+03
183.2,2.947e+03,1.796e+03,7.757e+01,4.820e+03
184.8,2.933e+03,1.685e+03,7.830e+01,4.697e+03
186.4,3.069e+03,1.612e+03,7.212e+01,4.753e+03
188.0,3.891e+03,1.648e+03,6.167e+01,5.601e+03
189.6,5.057e+03,1.870e+03,5.985e+01,6.987e+03
191.2,5.583e+03,2.055e+03,5.778e+01,7.696e+03
192.8,5.573e+03,2.121e+03,5.603e+01,7.750e+03
194.4,5.678e+03,2.278e+03,5.474e+01,8.011e+03
196.0,5.300e+03,1.760e+03,4.967e+01,7.109e+03
197.6,5.123e+03,9.804e+02,4.802e+01,6.152e+03
199.2,5.088e+03,7.291e+02,4.456e+01,5.861e+03
