freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.476e+00,2.107e+02,3.494e+01,2.491e+02
1.6,1.179e+01,1.397e+02,3.574e+01,1.873e+02
3.2,1.355e+01,4.059e+01,2.391e+01,7.805e+01
4.8,1.220e+01,4.565e+02,2.371e+01,4.924e+02
6.4,1.316e+01,1.405e+03,2.458e+01,1.442e+03
8.0,1.373e+01,2.227e+03,2.664e+01,2.267e+03
9.6,1.345e+01,3.250e+03,2.710e+01,3.290e+03
11.2,1.273e+01,4.658e+03,2.799e+01,4.699e+03
12.9,1.385e+01,6.482e+03,2.804e+01,6.524e+03
14.5,2.055e+01,8.951e+03,2.696e+01,8.999e+03
16.1,5.524e+01,1.211e+04,3.245e+01,1.220e+04
17.7,6.356e+01,1.622e+04,3.585e+01,1.632e+04
19.3,4.904e+01,1.727e+04,3.094e+01,1.735e+04
20.9,2.766e+01,1.177e+04,3.245e+01,1.183e+04
22.5,1.943e+01,1.181e+04,3.266e+01,1.186e+04
24.1,2.853e+01,1.566e+04,3.837e+01,1.572e+04
25.7,4.569e+01,2.042e+04,4.952e+01,2.051e+04
27.3,3.575e+01,2.557e+04,8.613e+01,2.569e+04
28.9,2.396e+01,3.191e+04,1.265e+02,3.206e+04
30.5,2.748e+01,4.006e+04,1.763e+02,4.027e+04
32.1,2.911e+01,5.090e+04,2.408e+02,5.117e+04
33.7,3.535e+01,6.757e+04,3.628e+02,6.797e+04
35.3,5.366e+01,9.319e+04,7.098e+02,9.395e+04
37.0,8.848e+01,1.401e+05,1.443e+03,1.416e+05
38.6,2.257e+02,2.233e+05,3.768e+03,2.273e+05
40.2,3.898e+02,3.324e+05,8.080e+03,3.409e+05
41.8,4.072e+02,4.326e+05,2.126e+04,4.543e+05
43.4,1.052e+03,5.110e+05,4.901e+04,5.610e+05
45.0,2.744e+03,4.738e+05,7.934e+04,5.559e+05
46.6,3.303e+03,2.917e+05,9.205e+04,3.871e+05
48.2,2.640e+03,1.424e+05,8.788e+04,2.329e+05
49.8,1.713e+03,6.518e+04,7.886e+04,1.458e+05
51.4,9.997e+02,2.763e+04,7.076e+04,9.939e+04
53.0,5.760e+02,1.276e+04,6.339e+04,7.672e+04
54.6,3.557e+02,1.122e+04,5.911e+04,7.069e+04
56.2,2.179e+02,1.815e+04,5.438e+04,7.275e+04
57.8,2.120e+02,2.325e+04,4.303e+04,6.649e+04
59.4,4.622e+02,2.661e+04,3.501e+04,6.208e+04
61.0,1.105e+03,3.329e+04,3.432e+04,6.871e+04
62.7,1.708e+03,4.570e+04,3.691e+04,8.432e+04
64.3,1.697e+03,6.128e+04,3.826e+04,1.012e+05
65.9,1.381e+03,6.393e+04,3.270e+04,9.802e+04
67.5,1.658e+03,5.135e+04,2.221e+04,7.521e+04
69.1,2.092e+03,4.292e+04,1.612e+04,6.114e+04
70.7,1.667e+03,4.314e+04,1.466e+04,5.947e+04
72.3,1.028e+03,4.293e+04,1.378e+04,5.774e+04
73.9,4.880e+02,3.440e+04,1.104e+04,4.593e+04
75.5,3.847e+02,2.293e+04,7.223e+03,3.054e+04
