freq,psd_x,psd_y,psd_z,psd_xyz
125.3,6.738e+03,2.772e+03,5.450e+02,1.006e+04
126.9,5.132e+03,2.958e+03,4.894e+02,8.580e+03
128.5,3.724e+03,2.593e+03,4.568e+02,6.774e+03
130.1,3.322e+03,2.592e+03,3.523e+02,6.267e+03
131.8,3.132e+03,2.334e+03,2.248e+02,5.691e+03
133.4,1.726e+03,1.223e+03,1.673e+02,3.116e+03
135.0,1.099e+03,5.006e+02,1.526e+02,1.752e+03
136.6,1.182e+03,3.477e+02,1.324e+02,1.662e+03
138.2,1.095e+03,2.943e+02,9.524e+01,1.484e+03
139.8,9.689e+02,2.115e+02,6.523e+01,1.246e+03
141.4,9.387e+02,1.520e+02,4.823e+01,1.139e+03
143.0,8.410e+02,1.343e+02,3.988e+01,1.015e+03
144.6,7.144e+02,1.554e+02,3.532e+01,9.052e+02
146.2,5.488e+02,1.623e+02,3.290e+01,7.440e+02
147.8,4.631e+02,1.656e+02,3.150e+01,6.602e+02
149.4,4.161e+02,1.990e+02,3.457e+01,6.497e+02
151.0,3.931e+02,1.705e+02,3.113e+01,5.947e+02
152.6,4.370e+02,1.294e+02,2.854e+01,5.950e+02
154.2,5.466e+02,1.709e+02,2.895e+01,7.464e+02
155.9,6.361e+02,2.495e+02,3.027e+01,9.160e+02
157.5,6.863e+02,2.925e+02,3.397e+01,1.013e+03
159.1,7.878e+02,3.175e+02,2.994e+01,1.135e+03
160.7,9.539e+02,3.544e+02,2.831e+01,1.337e+03
162.3,1.127e+03,4.045e+02,3.080e+01,1.562e+03
163.9,1.228e+03,4.832e+02,3.004e+01,1.741e+03
165.5,1.426e+03,5.979e+02,2.895e+01,2.053e+03
167.1,1.935e+03,6.905e+02,2.612e+01,2.651e+03
168.7,2.839e+03,7.536e+02,2.772e+01,3.621e+03
170.3,4.347e+03,8.214e+02,3.225e+01,5.200e+03
171.9,5.911e+03,1.040e+03,3.441e+01,6.986e+03
173.5,7.362e+03,1.269e+03,4.465e+01,8.676e+03
175.1,8.505e+03,1.411e+03,6.152e+01,9.977e+03
176.7,9.481e+03,1.494e+03,7.776e+01,1.105e+04
178.3,1.061e+04,1.417e+03,8.986e+01,1.212e+04
180.0,1.214e+04,1.313e+03,8.954e+01,1.354e+04
181.6,1.345e+04,1.248e+03,8.230e+01,1.478e+04
183.2,1.564e+04,1.051e+03,6.807e+01,1.676e+04
184.8,1.672e+04,8.440e+02,5.573e+01,1.762e+04
186.4,1.709e+04,7.051e+02,4.806e+01,1.784e+04
188.0,1.915e+04,6.341e+02,5.063e+01,1.984e+04
189.6,2.228e+04,6.175e+02,5.220e+01,2.295e+04
191.2,2.320e+04,5.960e+02,5.400e+01,2.385e+04
192.8,2.236e+04,5.413e+02,6.090e+01,2.296e+04
194.4,2.151e+04,5.203e+02,6.504e+01,2.210e+04
196.0,1.987e+04,4.410e+02,5.869e+01,2.037e+04
197.6,1.723e+04,3.599e+02,6.135e+01,1.765e+04
199.2,1.628e+04,3.497e+02,6.652e+01,1.670e+04
