freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.757e+02,6.560e+00,7.984e+00,2.903e+02
1.6,1.865e+02,1.804e+01,2.518e+01,2.297e+02
3.2,6.894e+01,1.921e+01,2.603e+01,1.142e+02
4.8,4.680e+02,2.089e+01,2.610e+01,5.150e+02
6.4,1.319e+03,1.840e+01,2.724e+01,1.365e+03
8.0,2.049e+03,1.838e+01,2.887e+01,2.096e+03
9.6,2.938e+03,2.000e+01,2.987e+01,2.988e+03
11.2,4.170e+03,2.022e+01,3.013e+01,4.221e+03
12.9,5.758e+03,2.058e+01,2.921e+01,5.807e+03
14.5,7.639e+03,1.823e+01,2.898e+01,7.686e+03
16.1,7.766e+03,1.936e+01,3.249e+01,7.818e+03
17.7,7.092e+03,2.123e+01,3.953e+01,7.152e+03
19.3,8.680e+03,2.340e+01,4.210e+01,8.746e+03
20.9,1.054e+04,2.752e+01,4.866e+01,1.062e+04
22.5,1.235e+04,2.241e+01,5.231e+01,1.242e+04
24.1,1.447e+04,1.888e+01,5.434e+01,1.454e+04
25.7,1.679e+04,2.164e+01,6.485e+01,1.687e+04
27.3,1.839e+04,2.330e+01,7.548e+01,1.849e+04
28.9,2.120e+04,2.416e+01,8.165e+01,2.130e+04
30.5,2.484e+04,2.502e+01,9.626e+01,2.496e+04
32.1,2.840e+04,2.690e+01,8.432e+01,2.851e+04
33.7,3.273e+04,2.655e+01,5.909e+01,3.282e+04
35.3,3.813e+04,2.838e+01,6.931e+01,3.823e+04
37.0,4.531e+04,3.831e+01,1.051e+02,4.545e+04
38.6,5.422e+04,3.721e+01,1.065e+02,5.436e+04
40.2,6.445e+04,2.556e+01,8.504e+01,6.456e+04
41.8,7.687e+04,4.432e+01,7.654e+01,7.700e+04
43.4,8.213e+04,1.172e+02,1.375e+02,8.238e+04
45.0,8.162e+04,2.245e+02,3.610e+02,8.221e+04
46.6,9.461e+04,3.177e+02,6.698e+02,9.559e+04
48.2,1.186e+05,4.053e+02,1.189e+03,1.202e+05
49.8,1.478e+05,4.369e+02,2.552e+03,1.508e+05
51.4,2.009e+05,6.398e+02,5.211e+03,2.067e+05
53.0,2.803e+05,2.331e+03,7.377e+03,2.900e+05
54.6,3.814e+05,5.422e+03,1.057e+04,3.974e+05
56.2,5.079e+05,8.244e+03,1.259e+04,5.287e+05
57.8,7.041e+05,1.129e+04,1.510e+04,7.305e+05
59.4,1.029e+06,1.822e+04,1.993e+04,1.067e+06
61.1,1.187e+06,1.979e+04,1.828e+04,1.225e+06
62.7,1.124e+06,1.219e+04,9.839e+03,1.146e+06
64.3,9.761e+05,4.482e+03,3.663e+03,9.842e+05
65.9,6.643e+05,2.335e+03,1.888e+03,6.685e+05
67.5,3.858e+05,6.083e+03,3.248e+03,3.951e+05
69.1,2.223e+05,8.703e+03,3.718e+03,2.347e+05
70.7,1.460e+05,9.489e+03,3.525e+03,1.590e+05
72.3,1.035e+05,6.102e+03,2.259e+03,1.118e+05
73.9,7.441e+04,2.683e+03,1.059e+03,7.816e+04
75.5,5.569e+04,8.121e+02,4.094e+02,5.692e+04
77.1,4.312e+04,1.875e+02,1.690e+02,4.348e+04
78.7,3.216e+04,2.348e+02,9.847e+01,3.249e+04
80.3,2.263e+04,3.927e+02,1.299e+02,2.315e+04
81.9,1.603e+04,4.102e+02,2.889e+02,1.673e+04
83.6,1.652e+04,3.229e+02,5.670e+02,1.741e+04
85.2,3.063e+04,5.820e+02,8.294e+02,3.204e+04
86.8,6.902e+04,2.237e+03,9.389e+02,7.220e+04
88.4,1.138e+05,3.892e+03,9.058e+02,1.186e+05
90.0,1.298e+05,4.291e+03,8.971e+02,1.350e+05
91.6,1.293e+05,4.816e+03,1.061e+03,1.351e+05
93.2,1.201e+05,5.572e+03,1.038e+03,1.268e+05
94.8,1.017e+05,6.371e+03,6.519e+02,1.087e+05
96.4,8.151e+04,7.654e+03,4.500e+02,8.962e+04
98.0,6.642e+04,1.021e+04,2.896e+02,7.692e+04
99.6,4.915e+04,1.179e+04,2.102e+02,6.115e+04
101.2,3.374e+04,7.115e+03,2.851e+02,4.114e+04
102.8,2.427e+04,4.858e+03,4.798e+02,2.961e+04
104.4,1.744e+04,3.076e+03,5.644e+02,2.108e+04
106.0,1.358e+04,1.917e+03,5.493e+02,1.604e+04
107.7,1.193e+04,1.513e+03,5.222e+02,1.397e+04
109.3,1.098e+04,1.375e+03,5.467e+02,1.290e+04
110.9,1.245e+04,1.218e+03,4.854e+02,1.415e+04
112.5,1.377e+04,1.562e+03,5.470e+02,1.588e+04
114.1,1.244e+04,1.367e+03,5.133e+02,1.432e+04
115.7,1.070e+04,1.636e+03,3.924e+02,1.273e+04
117.3,1.089e+04,2.785e+03,3.779e+02,1.406e+04
118.9,1.250e+04,4.213e+03,3.534e+02,1.707e+04
120.5,1.245e+04,4.166e+03,3.496e+02,1.696e+04
122.1,1.077e+04,3.299e+03,4.343e+02,1.450e+04
123.7,8.492e+03,2.691e+03,5.138e+02,1.170e+04
