freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.673e+02,6.681e+00,7.213e+00,2.812e+02
1.6,1.977e+02,1.838e+01,2.438e+01,2.405e+02
3.2,7.837e+01,1.949e+01,2.670e+01,1.246e+02
4.8,4.532e+02,1.908e+01,2.424e+01,4.965e+02
6.4,1.323e+03,1.782e+01,2.465e+01,1.365e+03
8.0,2.056e+03,1.950e+01,2.700e+01,2.103e+03
9.6,2.954e+03,2.035e+01,2.735e+01,3.002e+03
11.2,4.227e+03,2.015e+01,2.844e+01,4.275e+03
12.9,5.800e+03,2.024e+01,3.002e+01,5.851e+03
14.5,7.763e+03,2.368e+01,2.919e+01,7.815e+03
16.1,7.892e+03,4.048e+01,3.459e+01,7.967e+03
17.7,7.258e+03,7.279e+01,3.617e+01,7.367e+03
19.3,8.885e+03,7.624e+01,3.821e+01,8.999e+03
20.9,1.072e+04,5.485e+01,4.074e+01,1.082e+04
22.5,1.250e+04,3.760e+01,4.329e+01,1.259e+04
24.1,1.459e+04,5.201e+01,4.344e+01,1.469e+04
25.7,1.673e+04,7.177e+01,4.822e+01,1.685e+04
27.3,1.825e+04,6.455e+01,6.178e+01,1.838e+04
28.9,2.086e+04,5.292e+01,6.898e+01,2.098e+04
30.5,2.445e+04,5.742e+01,7.787e+01,2.458e+04
32.1,2.785e+04,7.197e+01,6.920e+01,2.799e+04
33.7,3.178e+04,9.480e+01,4.684e+01,3.192e+04
35.3,3.683e+04,1.190e+02,4.416e+01,3.700e+04
37.0,4.353e+04,1.546e+02,6.792e+01,4.375e+04
38.6,5.206e+04,2.565e+02,7.712e+01,5.239e+04
40.2,6.178e+04,4.164e+02,5.529e+01,6.225e+04
41.8,7.357e+04,4.796e+02,4.680e+01,7.410e+04
43.4,7.833e+04,4.156e+02,9.101e+01,7.884e+04
45.0,7.809e+04,3.727e+02,2.122e+02,7.867e+04
46.6,9.124e+04,5.593e+02,4.268e+02,9.222e+04
48.2,1.145e+05,1.199e+03,7.800e+02,1.165e+05
49.8,1.399e+05,1.703e+03,1.180e+03,1.428e+05
51.4,1.858e+05,1.820e+03,1.507e+03,1.892e+05
53.0,2.666e+05,1.525e+03,2.896e+03,2.710e+05
54.6,3.722e+05,1.218e+03,6.486e+03,3.799e+05
56.2,5.010e+05,2.990e+03,1.043e+04,5.144e+05
57.8,7.025e+05,7.019e+03,1.191e+04,7.214e+05
59.4,1.070e+06,1.516e+04,1.431e+04,1.099e+06
61.1,1.213e+06,2.649e+04,1.786e+04,1.257e+06
62.7,1.088e+06,2.722e+04,1.723e+04,1.133e+06
64.3,9.073e+05,1.303e+04,8.929e+03,9.293e+05
65.9,6.637e+05,4.757e+03,4.738e+03,6.732e+05
67.5,4.279e+05,3.411e+03,2.778e+03,4.341e+05
69.1,2.498e+05,6.507e+03,1.844e+03,2.582e+05
70.7,1.586e+05,8.659e+03,1.647e+03,1.689e+05
72.3,1.119e+05,6.923e+03,1.255e+03,1.201e+05
73.9,8.214e+04,3.448e+03,6.980e+02,8.629e+04
75.5,6.231e+04,1.168e+03,4.089e+02,6.389e+04
77.1,4.553e+04,5.894e+02,4.226e+02,4.655e+04
78.7,3.151e+04,8.569e+02,4.776e+02,3.284e+04
80.3,2.104e+04,1.524e+03,5.940e+02,2.316e+04
81.9,1.336e+04,2.233e+03,7.603e+02,1.635e+04
83.5,9.865e+03,2.558e+03,8.865e+02,1.331e+04
85.2,1.262e+04,2.653e+03,9.856e+02,1.626e+04
86.8,2.828e+04,3.048e+03,1.213e+03,3.254e+04
88.4,6.253e+04,4.205e+03,1.628e+03,6.837e+04
90.0,9.963e+04,5.031e+03,1.860e+03,1.065e+05
91.6,1.182e+05,4.219e+03,1.887e+03,1.243e+05
93.2,1.175e+05,2.717e+03,1.852e+03,1.221e+05
94.8,1.087e+05,1.176e+03,1.517e+03,1.114e+05
96.4,9.288e+04,1.050e+03,1.065e+03,9.499e+04
98.0,7.538e+04,2.741e+03,5.249e+02,7.865e+04
99.6,5.537e+04,5.041e+03,1.575e+02,6.057e+04
101.2,3.884e+04,3.251e+03,1.466e+02,4.223e+04
102.8,3.006e+04,2.139e+03,3.216e+02,3.252e+04
104.4,2.332e+04,1.450e+03,4.354e+02,2.521e+04
106.0,1.824e+04,9.034e+02,4.194e+02,1.956e+04
107.7,1.652e+04,7.061e+02,3.798e+02,1.761e+04
109.3,1.571e+04,7.197e+02,3.717e+02,1.680e+04
110.9,1.490e+04,8.220e+02,4.291e+02,1.615e+04
112.5,1.387e+04,1.086e+03,5.103e+02,1.546e+04
114.1,1.471e+04,1.996e+03,5.178e+02,1.722e+04
115.7,1.459e+04,2.809e+03,4.594e+02,1.786e+04
