freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.240e+00,2.360e+02,4.139e+01,2.817e+02
1.6,1.267e+01,1.559e+02,4.261e+01,2.112e+02
3.2,1.367e+01,3.938e+01,2.302e+01,7.607e+01
4.8,1.346e+01,4.567e+02,2.410e+01,4.943e+02
6.4,1.327e+01,1.414e+03,2.877e+01,1.456e+03
8.0,1.457e+01,2.223e+03,2.670e+01,2.264e+03
9.6,1.561e+01,3.228e+03,2.646e+01,3.270e+03
11.2,1.661e+01,4.571e+03,2.800e+01,4.616e+03
12.9,1.635e+01,6.375e+03,2.810e+01,6.419e+03
14.5,2.203e+01,8.828e+03,2.873e+01,8.878e+03
16.1,6.249e+01,1.196e+04,3.290e+01,1.205e+04
17.7,9.892e+01,1.605e+04,3.652e+01,1.618e+04
19.3,8.035e+01,1.741e+04,3.572e+01,1.752e+04
20.9,4.000e+01,1.193e+04,3.189e+01,1.200e+04
22.5,3.649e+01,1.168e+04,2.999e+01,1.174e+04
24.1,6.327e+01,1.541e+04,3.381e+01,1.551e+04
25.7,9.273e+01,1.981e+04,4.306e+01,1.994e+04
27.3,7.109e+01,2.491e+04,6.657e+01,2.504e+04
28.9,6.382e+01,3.121e+04,1.028e+02,3.138e+04
30.5,7.651e+01,3.940e+04,1.523e+02,3.963e+04
32.1,8.152e+01,4.975e+04,1.839e+02,5.002e+04
33.7,1.058e+02,6.469e+04,2.442e+02,6.504e+04
35.3,1.557e+02,8.772e+04,4.953e+02,8.837e+04
37.0,2.117e+02,1.313e+05,9.510e+02,1.325e+05
38.6,3.515e+02,2.057e+05,2.073e+03,2.081e+05
40.2,3.581e+02,3.088e+05,4.638e+03,3.138e+05
41.8,4.625e+02,3.879e+05,1.267e+04,4.011e+05
43.4,1.981e+03,5.053e+05,3.425e+04,5.415e+05
45.0,4.053e+03,6.548e+05,7.586e+04,7.347e+05
46.6,4.460e+03,5.157e+05,1.014e+05,6.215e+05
48.2,3.243e+03,2.702e+05,9.169e+04,3.652e+05
49.8,1.976e+03,1.243e+05,7.266e+04,1.990e+05
51.4,1.254e+03,5.663e+04,6.186e+04,1.197e+05
53.0,8.563e+02,2.609e+04,5.868e+04,8.563e+04
54.6,5.321e+02,1.388e+04,5.901e+04,7.342e+04
56.2,2.669e+02,1.560e+04,5.764e+04,7.351e+04
57.8,1.855e+02,2.627e+04,5.368e+04,8.013e+04
59.4,4.392e+02,3.998e+04,5.233e+04,9.275e+04
61.1,1.255e+03,5.367e+04,5.483e+04,1.098e+05
62.7,2.288e+03,7.425e+04,6.098e+04,1.375e+05
64.3,2.486e+03,1.056e+05,6.900e+04,1.771e+05
65.9,1.914e+03,1.318e+05,7.059e+04,2.043e+05
67.5,2.016e+03,1.258e+05,5.679e+04,1.846e+05
69.1,2.896e+03,1.206e+05,4.681e+04,1.703e+05
70.7,2.595e+03,1.230e+05,4.336e+04,1.690e+05
72.3,1.684e+03,1.110e+05,3.755e+04,1.502e+05
73.9,8.274e+02,8.006e+04,2.778e+04,1.087e+05
75.5,3.554e+02,4.940e+04,1.776e+04,6.751e+04
77.1,2.608e+02,3.972e+04,1.268e+04,5.266e+04
78.7,4.468e+02,4.224e+04,1.166e+04,5.435e+04
80.3,6.621e+02,4.360e+04,1.158e+04,5.584e+04
