freq,psd_x,psd_y,psd_z,psd_xyz
154.2,6.760e+02,2.229e+02,2.842e+01,9.273e+02
155.8,7.240e+02,2.756e+02,2.986e+01,1.029e+03
157.4,7.424e+02,2.969e+02,3.186e+01,1.071e+03
159.0,8.511e+02,2.868e+02,3.345e+01,1.171e+03
160.7,9.861e+02,3.199e+02,2.848e+01,1.334e+03
162.3,9.641e+02,3.533e+02,2.661e+01,1.344e+03
163.9,9.851e+02,4.320e+02,2.832e+01,1.445e+03
165.5,1.250e+03,5.322e+02,2.812e+01,1.810e+03
167.1,1.822e+03,6.331e+02,2.803e+01,2.483e+03
168.7,2.703e+03,7.466e+02,3.061e+01,3.481e+03
170.3,4.223e+03,7.635e+02,3.599e+01,5.023e+03
171.9,6.085e+03,8.090e+02,3.880e+01,6.933e+03
173.5,7.842e+03,8.912e+02,5.384e+01,8.787e+03
175.1,9.457e+03,9.391e+02,5.721e+01,1.045e+04
176.7,1.114e+04,1.108e+03,6.261e+01,1.231e+04
178.3,1.257e+04,1.197e+03,8.391e+01,1.386e+04
179.9,1.489e+04,1.195e+03,8.913e+01,1.617e+04
181.5,1.733e+04,1.041e+03,7.778e+01,1.845e+04
183.1,1.919e+04,8.859e+02,6.857e+01,2.015e+04
184.8,1.938e+04,7.755e+02,6.138e+01,2.022e+04
186.4,2.051e+04,6.663e+02,5.481e+01,2.123e+04
188.0,2.345e+04,6.150e+02,5.397e+01,2.412e+04
189.6,2.598e+04,5.949e+02,5.524e+01,2.663e+04
191.2,2.556e+04,6.058e+02,5.462e+01,2.622e+04
192.8,2.503e+04,6.343e+02,5.450e+01,2.572e+04
194.4,2.619e+04,7.354e+02,5.165e+01,2.698e+04
196.0,2.275e+04,7.131e+02,4.774e+01,2.351e+04
197.6,1.877e+04,6.224e+02,5.485e+01,1.945e+04
199.2,1.851e+04,5.187e+02,5.976e+01,1.909e+04
